Município,Hipertensão,Diabetes Tipo 1,Diabetes Tipo 2,Hiper_c/_Diabete
354680 Santa Isabel,5165,138,343,1903
354690 Santa Lúcia,550,15,39,227
354700 Santa Maria da Serra,412,13,48,186
354710 Santa Mercedes,141,-,13,48
354740 Santa Rita d'Oeste,318,8,6,77
354750 Santa Rita do Passa Quatro,135,31,48,286
354765 Santa Salete,160,4,6,60
354720 Santana da Ponte Pensa,449,7,23,76
354730 Santana de Parnaíba,8635,86,537,2314
354770 Santo Anastácio,2041,19,37,773
354780 Santo André,18737,616,2059,10364
354805 Santo Antônio do Aracanguá,625,24,24,282
354810 Santo Antônio do Jardim,247,9,24,157
354820 Santo Antônio do Pinhal,405,3,32,151
354830 Santo Expedito,281,16,-,82
354840 Santópolis do Aguapeí,217,3,9,78
354850 Santos,32570,931,3134,14227
354860 São Bento do Sapucaí,990,26,114,403
354870 São Bernardo do Campo,22825,451,1444,8220
354880 São Caetano do Sul,517,9,40,406
354890 São Carlos,7117,296,855,4285
354920 São João das Duas Pontes,315,3,39,52
354925 São João de Iracema,298,4,17,57
354930 São João do Pau d'Alho,259,4,13,45
354940 São Joaquim da Barra,232,3,11,100
354950 São José da Bela Vista,213,2,5,68
354960 São José do Barreiro,608,2,23,106
354970 São José do Rio Pardo,2545,48,146,1010
354980 São José do Rio Preto,29376,466,2140,10566
354990 São José dos Campos,23166,747,1899,11690
354995 São Lourenço da Serra,1830,35,84,486
355010 São Manuel,777,45,164,899
355030 São Paulo,38325,551,2137,17115
355040 São Pedro,818,56,149,945
355050 São Pedro do Turvo,17,1,-,49
355060 São Roque,5793,98,426,2460
355070 São Sebastião,6432,83,314,2420
355080 São Sebastião da Grama,1024,28,34,269
355090 São Simão,551,6,43,213
355100 São Vicente,3755,184,474,3360
355110 Sarapuí,239,4,7,131
355130 Sebastianópolis do Sul,705,14,13,92
355160 Serra Negra,-,3,-,44
355150 Serrana,241,1,12,102
355170 Sertãozinho,1178,17,87,893
355180 Sete Barras,642,7,28,249
355190 Severínia,2631,97,24,527
355200 Silveiras,449,3,15,105
355210 Socorro,1057,8,48,432
355220 Sorocaba,20848,225,1323,8072
355230 Sud Mennucci,1116,20,67,211
355240 Sumaré,3173,43,186,1717
355255 Suzanápolis,652,13,14,137
355250 Suzano,12782,309,759,4628
355260 Tabapuã,998,4,19,310
355270 Tabatinga,1100,14,54,305
355280 Taboão da Serra,11841,176,557,5079
355290 Taciba,494,2,16,92
355300 Taguaí,566,1,12,107
355310 Taiaçu,339,6,9,89
355330 Tambaú,1084,25,56,376
355340 Tanabi,3679,55,133,1245
355360 Tapiratiba,1075,22,47,340
355370 Taquaritinga,5323,33,118,1190
355380 Taquarituba,1176,29,41,422
355385 Taquarivaí,288,2,10,69
355390 Tarabai,208,1,28,59
355395 Tarumã,1640,18,54,442
355400 Tatuí,8166,162,708,4232
355410 Taubaté,3374,132,488,3288
355440 Terra Roxa,487,29,11,152
355450 Tietê,682,6,27,474
355465 Torre de Pedra,114,5,9,52
355470 Torrinha,834,9,51,249
355475 Trabiju,144,1,6,64
355480 Tremembé,1631,33,92,773
355490 Três Fronteiras,129,2,5,66
355495 Tuiuti,24,1,4,19
355500 Tupã,6749,118,504,2789
355510 Tupi Paulista,2155,19,119,581
355520 Turiúba,410,-,13,66
355530 Turmalina,155,4,18,47
355535 Ubarana,207,7,23,98
355540 Ubatuba,6843,93,285,1787
355550 Ubirajara,343,1,7,93
355560 Uchoa,97,1,5,37
355570 União Paulista,146,4,3,40
355580 Urânia,166,-,5,86
355590 Uru,45,1,2,24
355600 Urupês,1940,31,83,402
355610 Valentim Gentil,227,2,4,77
355620 Valinhos,1092,2,43,478
355630 Valparaíso,980,7,5,263
355635 Vargem,277,5,10,115
355640 Vargem Grande do Sul,2212,66,153,962
355645 Vargem Grande Paulista,11940,334,563,4067
355650 Várzea Paulista,315,1,15,177
355660 Vera Cruz,1174,7,28,274
355670 Vinhedo,1104,6,41,467
355680 Viradouro,196,1,1,81
355690 Vista Alegre do Alto,469,2,11,97
355695 Vitória Brasil,96,2,7,28
355700 Votorantim,7229,49,332,2338
355710 Votuporanga,4582,132,327,1932
355715 Zacarias,238,10,9,55
Total,1206560,25119,74303,500476
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos,,,,
